case:concept:name,concept:name,time:timestamp,cost,org:resource
10,Activity 36,2023-01-01 09:48:00,150,Tom
10,Activity 7,2023-01-01 11:10:00,222,Anna
10,Activity 24,2023-01-01 12:43:00,137,John
10,Activity 39,2023-01-01 13:10:00,120,Peter
10,Activity 10,2023-01-01 14:36:00,110,Susan
10,Activity 9,2023-01-01 14:49:00,212,Peter
10,Activity 48,2023-01-01 15:18:00,248,Lisa
10,Activity 22,2023-01-01 16:47:00,238,Laura
10,Activity 17,2023-01-01 16:57:00,95,Mike
11,Activity 17,2023-01-03 01:18:00,261,Laura
11,Activity 29,2023-01-03 01:43:00,291,Laura
11,Activity 9,2023-01-03 02:11:00,144,Tom
12,Activity 32,2023-01-01 20:25:00,181,Tom
12,Activity 45,2023-01-01 21:40:00,221,Peter
12,Activity 48,2023-01-01 22:51:00,217,Tom
12,Activity 44,2023-01-02 00:42:00,230,Laura
12,Activity 20,2023-01-02 02:32:00,54,Lisa
12,Activity 37,2023-01-02 03:41:00,178,John
12,Activity 47,2023-01-02 03:55:00,162,Anna
12,Activity 6,2023-01-02 04:46:00,215,Lisa
12,Activity 27,2023-01-02 05:42:00,81,Tom
12,Activity 19,2023-01-02 07:35:00,277,John
13,Activity 1,2023-01-03 08:43:00,94,Peter
13,Activity 9,2023-01-03 09:47:00,195,Tom
13,Activity 12,2023-01-03 10:23:00,124,Peter
13,Activity 10,2023-01-03 11:46:00,88,Laura
13,Activity 29,2023-01-03 12:27:00,210,Peter
13,Activity 37,2023-01-03 13:05:00,255,Tom
13,Activity 5,2023-01-03 13:34:00,141,Mike
13,Activity 6,2023-01-03 14:23:00,84,Laura
14,Activity 43,2023-01-01 08:37:00,187,Mike
14,Activity 24,2023-01-01 09:24:00,162,Peter
14,Activity 35,2023-01-01 10:37:00,279,Tom
14,Activity 46,2023-01-01 11:04:00,55,Anna
14,Activity 30,2023-01-01 11:25:00,209,Anna
14,Activity 8,2023-01-01 12:59:00,181,Tom
14,Activity 48,2023-01-01 13:50:00,88,John
14,Activity 49,2023-01-01 14:55:00,176,Peter
15,Activity 49,2023-01-02 05:45:00,125,Laura
15,Activity 23,2023-01-02 06:07:00,183,John
15,Activity 22,2023-01-02 06:11:00,81,Lisa
15,Activity 23,2023-01-02 07:59:00,138,Laura
15,Activity 13,2023-01-02 09:33:00,219,Mike
15,Activity 23,2023-01-02 10:41:00,92,Lisa
16,Activity 1,2023-01-01 21:43:00,180,Tom
16,Activity 26,2023-01-01 22:41:00,228,Peter
16,Activity 38,2023-01-02 00:30:00,218,Laura
16,Activity 39,2023-01-02 02:12:00,136,Mike
16,Activity 36,2023-01-02 02:36:00,72,Anna
16,Activity 48,2023-01-02 03:46:00,191,Anna
16,Activity 23,2023-01-02 05:44:00,122,Lisa
16,Activity 15,2023-01-02 06:00:00,160,Mike
17,Activity 34,2023-01-02 23:04:00,156,Anna
17,Activity 26,2023-01-03 00:18:00,243,Anna
17,Activity 39,2023-01-03 00:56:00,59,Peter
17,Activity 16,2023-01-03 01:52:00,96,Anna
17,Activity 33,2023-01-03 03:52:00,112,Anna
17,Activity 48,2023-01-03 03:53:00,277,John
17,Activity 17,2023-01-03 05:15:00,72,John
17,Activity 16,2023-01-03 06:29:00,104,Laura
17,Activity 35,2023-01-03 07:59:00,59,Laura
17,Activity 4,2023-01-03 09:16:00,160,Susan
18,Activity 13,2023-01-03 02:43:00,59,Anna
18,Activity 13,2023-01-03 04:30:00,212,Mike
18,Activity 29,2023-01-03 06:20:00,161,Tom
18,Activity 30,2023-01-03 07:58:00,202,Tom
18,Activity 13,2023-01-03 08:35:00,238,Tom
19,Activity 25,2023-01-02 07:27:00,72,Mike
19,Activity 6,2023-01-02 08:56:00,274,Lisa
19,Activity 45,2023-01-02 10:47:00,59,Peter
19,Activity 29,2023-01-02 11:32:00,299,Mike
20,Activity 15,2023-01-02 20:10:00,90,Susan
20,Activity 9,2023-01-02 21:46:00,171,Tom
20,Activity 30,2023-01-02 22:07:00,255,Tom
20,Activity 50,2023-01-02 22:31:00,296,Anna
20,Activity 6,2023-01-02 23:28:00,144,Tom
21,Activity 28,2023-01-02 13:59:00,151,Laura
21,Activity 31,2023-01-02 14:05:00,123,John
21,Activity 37,2023-01-02 15:40:00,223,Anna
21,Activity 26,2023-01-02 16:48:00,150,John
21,Activity 45,2023-01-02 16:54:00,226,Peter
21,Activity 8,2023-01-02 17:32:00,203,Laura
22,Activity 49,2023-01-02 20:50:00,108,Tom
22,Activity 16,2023-01-02 21:45:00,263,Tom
22,Activity 31,2023-01-02 23:05:00,145,Mike
22,Activity 10,2023-01-02 23:59:00,54,Anna
22,Activity 7,2023-01-03 01:39:00,211,Mike
22,Activity 22,2023-01-03 03:21:00,60,Lisa
22,Activity 32,2023-01-03 05:04:00,77,Susan
23,Activity 2,2023-01-03 08:36:00,60,Peter
23,Activity 49,2023-01-03 08:41:00,277,Peter
23,Activity 40,2023-01-03 09:19:00,211,Lisa
23,Activity 35,2023-01-03 10:51:00,208,Peter
23,Activity 28,2023-01-03 12:45:00,197,Mike
23,Activity 31,2023-01-03 13:03:00,277,Laura
23,Activity 14,2023-01-03 14:32:00,155,Laura
23,Activity 15,2023-01-03 15:53:00,201,Lisa
23,Activity 6,2023-01-03 16:43:00,111,Tom
24,Activity 27,2023-01-02 02:31:00,256,Susan
24,Activity 40,2023-01-02 03:31:00,278,Tom
24,Activity 15,2023-01-02 04:19:00,197,Anna
25,Activity 39,2023-01-02 16:20:00,197,Laura
25,Activity 24,2023-01-02 16:36:00,296,Anna
25,Activity 26,2023-01-02 18:36:00,260,Tom
25,Activity 32,2023-01-02 19:33:00,269,Susan
25,Activity 36,2023-01-02 21:21:00,245,Anna
25,Activity 33,2023-01-02 21:35:00,55,Laura
25,Activity 19,2023-01-02 23:31:00,147,Peter
26,Activity 43,2023-01-01 10:24:00,265,Susan
26,Activity 9,2023-01-01 10:50:00,193,Anna
26,Activity 48,2023-01-01 11:17:00,85,Tom
26,Activity 16,2023-01-01 11:36:00,277,Peter
26,Activity 7,2023-01-01 12:30:00,294,Susan
26,Activity 12,2023-01-01 13:15:00,60,John
26,Activity 20,2023-01-01 14:21:00,98,Tom
26,Activity 2,2023-01-01 15:09:00,159,Laura
26,Activity 48,2023-01-01 17:00:00,180,Susan
26,Activity 25,2023-01-01 18:13:00,107,Anna
27,Activity 40,2023-01-02 20:00:00,176,Susan
27,Activity 49,2023-01-02 20:41:00,251,Anna
27,Activity 23,2023-01-02 21:08:00,295,John
27,Activity 11,2023-01-02 21:13:00,100,Laura
27,Activity 26,2023-01-02 21:37:00,148,Susan
27,Activity 14,2023-01-02 22:33:00,297,Anna
28,Activity 12,2023-01-01 15:54:00,107,Peter
28,Activity 13,2023-01-01 16:53:00,153,Peter
28,Activity 43,2023-01-01 17:34:00,189,Peter
28,Activity 28,2023-01-01 18:51:00,125,Susan
28,Activity 32,2023-01-01 20:06:00,103,Susan
29,Activity 35,2023-01-01 15:16:00,276,Anna
29,Activity 35,2023-01-01 15:47:00,192,Tom
29,Activity 27,2023-01-01 16:07:00,189,Mike
29,Activity 2,2023-01-01 18:05:00,249,Peter
29,Activity 12,2023-01-01 20:00:00,276,Tom
29,Activity 24,2023-01-01 21:10:00,78,Laura
29,Activity 45,2023-01-01 22:45:00,87,Anna
29,Activity 42,2023-01-01 23:05:00,250,Peter
29,Activity 17,2023-01-01 23:11:00,284,Tom
30,Activity 18,2023-01-01 14:00:00,75,Mike
30,Activity 10,2023-01-01 14:10:00,282,Susan
30,Activity 5,2023-01-01 15:42:00,135,Laura
30,Activity 7,2023-01-01 17:34:00,95,Lisa
30,Activity 17,2023-01-01 18:32:00,74,John
30,Activity 34,2023-01-01 20:22:00,162,Tom
30,Activity 8,2023-01-01 22:20:00,87,Lisa
30,Activity 36,2023-01-02 00:09:00,269,Tom
30,Activity 17,2023-01-02 02:02:00,73,Mike
30,Activity 7,2023-01-02 03:00:00,108,Susan
31,Activity 14,2023-01-01 15:42:00,258,John
31,Activity 2,2023-01-01 16:14:00,191,Susan
31,Activity 22,2023-01-01 17:20:00,269,Anna
32,Activity 38,2023-01-02 01:34:00,70,Anna
32,Activity 26,2023-01-02 03:05:00,247,Tom
32,Activity 15,2023-01-02 03:58:00,121,Tom
32,Activity 19,2023-01-02 04:39:00,165,Tom
32,Activity 20,2023-01-02 05:46:00,197,Anna
32,Activity 5,2023-01-02 07:19:00,132,John
32,Activity 26,2023-01-02 07:21:00,289,Peter
32,Activity 10,2023-01-02 08:08:00,125,Tom
32,Activity 37,2023-01-02 09:47:00,84,John
33,Activity 44,2023-01-02 16:26:00,167,Tom
33,Activity 33,2023-01-02 16:57:00,164,Susan
33,Activity 29,2023-01-02 17:40:00,106,John
33,Activity 44,2023-01-02 17:48:00,194,Susan
33,Activity 43,2023-01-02 18:44:00,217,Mike
33,Activity 41,2023-01-02 19:09:00,144,Peter
34,Activity 43,2023-01-02 22:14:00,117,Susan
34,Activity 39,2023-01-02 22:50:00,153,Anna
34,Activity 9,2023-01-03 00:13:00,122,Tom
34,Activity 9,2023-01-03 01:14:00,200,Tom
34,Activity 28,2023-01-03 02:57:00,78,Mike
34,Activity 37,2023-01-03 03:27:00,234,Laura
34,Activity 36,2023-01-03 03:42:00,255,Lisa
34,Activity 41,2023-01-03 05:37:00,222,Mike
35,Activity 18,2023-01-02 08:39:00,149,Lisa
35,Activity 26,2023-01-02 09:28:00,61,Mike
35,Activity 48,2023-01-02 10:03:00,99,Laura
35,Activity 38,2023-01-02 11:55:00,200,Tom
36,Activity 33,2023-01-02 22:08:00,96,Peter
36,Activity 8,2023-01-02 22:54:00,232,Mike
36,Activity 28,2023-01-03 00:03:00,223,Mike
36,Activity 34,2023-01-03 01:28:00,249,Susan
36,Activity 36,2023-01-03 03:06:00,84,John
36,Activity 49,2023-01-03 05:04:00,193,Mike
36,Activity 48,2023-01-03 06:02:00,71,John
37,Activity 22,2023-01-01 14:06:00,172,Laura
37,Activity 26,2023-01-01 14:10:00,159,John
37,Activity 37,2023-01-01 14:47:00,154,Laura
37,Activity 9,2023-01-01 16:26:00,181,Peter
37,Activity 23,2023-01-01 17:03:00,154,Laura
37,Activity 16,2023-01-01 18:49:00,151,Tom
37,Activity 13,2023-01-01 20:08:00,104,Anna
38,Activity 35,2023-01-01 19:11:00,89,Peter
38,Activity 23,2023-01-01 20:11:00,72,Peter
38,Activity 44,2023-01-01 21:30:00,127,Mike
38,Activity 40,2023-01-01 21:51:00,135,Tom
38,Activity 14,2023-01-01 22:46:00,173,Laura
38,Activity 20,2023-01-01 23:24:00,142,Susan
38,Activity 25,2023-01-02 00:51:00,277,Lisa
39,Activity 18,2023-01-02 09:35:00,216,Susan
39,Activity 9,2023-01-02 10:21:00,208,Susan
39,Activity 37,2023-01-02 10:47:00,126,Laura
39,Activity 38,2023-01-02 11:41:00,53,Mike
39,Activity 25,2023-01-02 13:05:00,229,Lisa
39,Activity 12,2023-01-02 14:15:00,109,Lisa
40,Activity 47,2023-01-01 19:51:00,242,Peter
40,Activity 19,2023-01-01 21:06:00,145,Peter
40,Activity 25,2023-01-01 22:37:00,50,Peter
40,Activity 15,2023-01-01 23:04:00,292,Tom
40,Activity 6,2023-01-01 23:41:00,88,Mike
40,Activity 36,2023-01-02 00:14:00,170,Lisa
40,Activity 22,2023-01-02 01:57:00,286,Anna
40,Activity 12,2023-01-02 01:59:00,223,Laura
40,Activity 17,2023-01-02 03:45:00,87,Susan
41,Activity 3,2023-01-02 15:58:00,243,Susan
41,Activity 5,2023-01-02 17:09:00,109,Mike
41,Activity 49,2023-01-02 17:26:00,122,Lisa
41,Activity 38,2023-01-02 17:34:00,292,John
41,Activity 4,2023-01-02 18:55:00,239,Susan
42,Activity 33,2023-01-01 23:45:00,265,Lisa
42,Activity 21,2023-01-02 00:10:00,110,Tom
42,Activity 10,2023-01-02 00:17:00,123,Tom
42,Activity 28,2023-01-02 01:59:00,79,Tom
42,Activity 38,2023-01-02 03:09:00,151,Susan
42,Activity 35,2023-01-02 05:03:00,160,Tom
42,Activity 26,2023-01-02 06:03:00,235,Tom
42,Activity 21,2023-01-02 07:35:00,122,Anna
42,Activity 17,2023-01-02 08:12:00,299,Mike
42,Activity 24,2023-01-02 08:31:00,110,John
43,Activity 14,2023-01-02 01:38:00,256,John
43,Activity 13,2023-01-02 03:02:00,178,Laura
43,Activity 13,2023-01-02 03:08:00,228,Mike
43,Activity 7,2023-01-02 03:45:00,52,Laura
43,Activity 27,2023-01-02 04:25:00,94,Tom
43,Activity 25,2023-01-02 04:34:00,225,Susan
43,Activity 1,2023-01-02 06:21:00,209,Tom
43,Activity 1,2023-01-02 07:22:00,69,Lisa
43,Activity 45,2023-01-02 09:18:00,98,Mike
44,Activity 22,2023-01-02 05:47:00,265,Anna
44,Activity 8,2023-01-02 06:43:00,80,Peter
44,Activity 12,2023-01-02 07:12:00,195,Tom
44,Activity 46,2023-01-02 08:34:00,283,Lisa
45,Activity 13,2023-01-02 09:24:00,65,Peter
45,Activity 40,2023-01-02 10:30:00,283,Susan
45,Activity 5,2023-01-02 10:38:00,132,Tom
45,Activity 21,2023-01-02 12:27:00,249,Laura
45,Activity 42,2023-01-02 13:47:00,297,Susan
45,Activity 43,2023-01-02 14:25:00,284,John
45,Activity 21,2023-01-02 14:46:00,135,Peter
45,Activity 29,2023-01-02 15:35:00,292,Mike
45,Activity 39,2023-01-02 17:23:00,289,Lisa
46,Activity 28,2023-01-01 18:01:00,233,Laura
46,Activity 41,2023-01-01 18:31:00,236,Laura
46,Activity 40,2023-01-01 19:23:00,263,Mike
46,Activity 11,2023-01-01 20:57:00,216,John
46,Activity 19,2023-01-01 22:21:00,166,John
46,Activity 37,2023-01-01 22:49:00,196,Tom
46,Activity 43,2023-01-02 00:02:00,102,Lisa
47,Activity 33,2023-01-02 13:42:00,276,Peter
47,Activity 28,2023-01-02 15:36:00,183,Lisa
47,Activity 45,2023-01-02 17:24:00,119,Tom
47,Activity 29,2023-01-02 17:44:00,88,Tom
47,Activity 39,2023-01-02 18:12:00,139,Laura
47,Activity 34,2023-01-02 18:41:00,214,Mike
47,Activity 12,2023-01-02 20:30:00,198,Lisa
47,Activity 33,2023-01-02 21:47:00,180,Anna
47,Activity 21,2023-01-02 22:15:00,296,Lisa
47,Activity 22,2023-01-02 22:46:00,74,Anna
48,Activity 18,2023-01-03 02:28:00,147,Susan
48,Activity 11,2023-01-03 02:37:00,212,Tom
48,Activity 32,2023-01-03 03:16:00,265,Anna
48,Activity 17,2023-01-03 04:46:00,54,Laura
48,Activity 8,2023-01-03 05:08:00,123,Lisa
48,Activity 1,2023-01-03 06:49:00,272,Lisa
49,Activity 11,2023-01-01 23:28:00,256,John
49,Activity 36,2023-01-01 23:52:00,130,Susan
49,Activity 14,2023-01-02 00:11:00,87,Lisa
49,Activity 33,2023-01-02 01:47:00,184,Laura
49,Activity 11,2023-01-02 03:27:00,95,Peter
49,Activity 39,2023-01-02 04:14:00,213,Tom
49,Activity 25,2023-01-02 05:53:00,134,Laura
49,Activity 4,2023-01-02 06:30:00,271,Susan
49,Activity 22,2023-01-02 08:18:00,79,Tom
49,Activity 37,2023-01-02 10:10:00,58,Tom
50,Activity 39,2023-01-02 07:54:00,275,Anna
50,Activity 22,2023-01-02 08:28:00,206,Anna
50,Activity 39,2023-01-02 09:05:00,271,Susan
51,Activity 27,2023-01-02 06:24:00,160,Susan
51,Activity 32,2023-01-02 06:30:00,195,Mike
51,Activity 12,2023-01-02 06:33:00,90,John
51,Activity 37,2023-01-02 06:58:00,200,Anna
51,Activity 35,2023-01-02 07:54:00,105,Lisa
51,Activity 32,2023-01-02 08:30:00,85,Mike
51,Activity 4,2023-01-02 10:09:00,212,Lisa
51,Activity 27,2023-01-02 10:21:00,90,Lisa
51,Activity 12,2023-01-02 10:52:00,258,Laura
52,Activity 27,2023-01-02 20:46:00,176,Mike
52,Activity 23,2023-01-02 22:32:00,181,John
52,Activity 35,2023-01-02 23:22:00,97,Peter
53,Activity 3,2023-01-03 07:51:00,270,Susan
53,Activity 36,2023-01-03 09:37:00,132,Susan
53,Activity 20,2023-01-03 09:49:00,289,John
54,Activity 14,2023-01-01 22:56:00,218,Lisa
54,Activity 48,2023-01-02 00:35:00,162,Laura
54,Activity 6,2023-01-02 01:43:00,78,Lisa
54,Activity 18,2023-01-02 02:53:00,154,John
55,Activity 9,2023-01-02 08:52:00,120,Lisa
55,Activity 32,2023-01-02 09:53:00,122,Susan
55,Activity 11,2023-01-02 11:49:00,110,Susan
55,Activity 48,2023-01-02 13:35:00,288,John
56,Activity 32,2023-01-01 09:19:00,217,Lisa
56,Activity 46,2023-01-01 10:35:00,103,Tom
56,Activity 31,2023-01-01 11:45:00,191,John
56,Activity 5,2023-01-01 13:17:00,135,Susan
56,Activity 12,2023-01-01 13:18:00,161,Peter
56,Activity 12,2023-01-01 14:54:00,198,Anna
56,Activity 34,2023-01-01 15:28:00,188,Tom
56,Activity 4,2023-01-01 16:18:00,239,Tom
56,Activity 22,2023-01-01 18:10:00,128,John
57,Activity 23,2023-01-02 22:36:00,257,Peter
57,Activity 21,2023-01-02 23:58:00,57,Laura
57,Activity 49,2023-01-03 01:32:00,182,Susan
57,Activity 24,2023-01-03 02:02:00,125,Peter
57,Activity 25,2023-01-03 02:12:00,105,Lisa
57,Activity 39,2023-01-03 03:50:00,251,Susan
57,Activity 11,2023-01-03 04:03:00,243,John
58,Activity 15,2023-01-02 07:46:00,75,John
58,Activity 50,2023-01-02 08:04:00,114,Anna
58,Activity 45,2023-01-02 09:14:00,290,Lisa
58,Activity 37,2023-01-02 10:11:00,53,Susan
58,Activity 28,2023-01-02 10:24:00,212,Lisa
58,Activity 39,2023-01-02 12:21:00,195,John
59,Activity 38,2023-01-03 03:35:00,162,Mike
59,Activity 19,2023-01-03 05:35:00,181,John
59,Activity 3,2023-01-03 06:19:00,129,Tom
59,Activity 15,2023-01-03 07:36:00,220,Anna
59,Activity 34,2023-01-03 07:53:00,99,Lisa
59,Activity 14,2023-01-03 09:14:00,159,John
59,Activity 49,2023-01-03 09:16:00,99,Lisa
60,Activity 44,2023-01-03 03:04:00,209,Mike
60,Activity 5,2023-01-03 04:10:00,155,Peter
60,Activity 21,2023-01-03 04:33:00,90,Tom
60,Activity 39,2023-01-03 05:58:00,188,Susan
61,Activity 33,2023-01-03 06:45:00,228,Susan
61,Activity 19,2023-01-03 06:58:00,117,Lisa
61,Activity 43,2023-01-03 08:34:00,169,Susan
61,Activity 20,2023-01-03 08:52:00,253,John
61,Activity 2,2023-01-03 09:02:00,159,Laura
61,Activity 22,2023-01-03 10:51:00,135,Susan
61,Activity 27,2023-01-03 11:02:00,295,Peter
62,Activity 22,2023-01-02 20:40:00,185,Peter
62,Activity 36,2023-01-02 21:05:00,56,Mike
62,Activity 19,2023-01-02 21:44:00,206,Tom
62,Activity 32,2023-01-02 22:22:00,238,John
62,Activity 19,2023-01-02 23:54:00,179,Mike
62,Activity 23,2023-01-03 01:30:00,112,John
63,Activity 23,2023-01-02 09:32:00,273,Anna
63,Activity 24,2023-01-02 09:51:00,52,John
63,Activity 43,2023-01-02 11:00:00,123,Peter
63,Activity 21,2023-01-02 12:14:00,222,Susan
63,Activity 23,2023-01-02 14:08:00,296,Peter
63,Activity 37,2023-01-02 15:10:00,178,John
63,Activity 41,2023-01-02 16:47:00,212,Anna
63,Activity 45,2023-01-02 17:43:00,75,Anna
63,Activity 9,2023-01-02 19:07:00,253,Peter
63,Activity 44,2023-01-02 19:40:00,115,Anna
64,Activity 34,2023-01-02 14:26:00,217,Lisa
64,Activity 24,2023-01-02 15:50:00,90,Susan
64,Activity 7,2023-01-02 16:42:00,222,Mike
64,Activity 6,2023-01-02 18:20:00,229,Peter
65,Activity 12,2023-01-02 21:02:00,95,Laura
65,Activity 33,2023-01-02 21:22:00,257,Laura
65,Activity 47,2023-01-02 23:21:00,202,Anna
66,Activity 21,2023-01-01 11:08:00,75,John
66,Activity 22,2023-01-01 11:26:00,147,Tom
66,Activity 24,2023-01-01 12:57:00,137,John
67,Activity 32,2023-01-01 14:47:00,60,Peter
67,Activity 40,2023-01-01 15:15:00,128,Laura
67,Activity 16,2023-01-01 16:37:00,203,Mike
67,Activity 46,2023-01-01 16:54:00,172,John
68,Activity 1,2023-01-02 16:58:00,93,Anna
68,Activity 37,2023-01-02 17:27:00,168,Mike
68,Activity 26,2023-01-02 18:11:00,249,Peter
68,Activity 25,2023-01-02 19:50:00,254,John
68,Activity 37,2023-01-02 21:01:00,87,Mike
68,Activity 39,2023-01-02 22:18:00,171,Anna
68,Activity 28,2023-01-02 22:56:00,111,Laura
68,Activity 26,2023-01-03 00:07:00,132,Susan
68,Activity 8,2023-01-03 01:49:00,163,Anna
68,Activity 44,2023-01-03 03:20:00,201,Mike
69,Activity 47,2023-01-02 20:27:00,171,Peter
69,Activity 23,2023-01-02 22:03:00,204,Peter
69,Activity 20,2023-01-02 22:59:00,206,Tom
69,Activity 11,2023-01-03 00:30:00,226,Lisa
70,Activity 23,2023-01-02 16:34:00,200,Mike
70,Activity 26,2023-01-02 17:20:00,231,Laura
70,Activity 32,2023-01-02 18:08:00,162,Peter
70,Activity 18,2023-01-02 19:08:00,262,Lisa
70,Activity 40,2023-01-02 20:06:00,126,Laura
70,Activity 33,2023-01-02 20:45:00,229,Tom
70,Activity 13,2023-01-02 21:05:00,70,John
70,Activity 11,2023-01-02 22:46:00,82,Anna
71,Activity 8,2023-01-02 06:51:00,50,Peter
71,Activity 44,2023-01-02 07:26:00,265,Laura
71,Activity 8,2023-01-02 07:29:00,204,Peter
71,Activity 1,2023-01-02 08:13:00,104,Anna
71,Activity 12,2023-01-02 08:16:00,92,Lisa
71,Activity 22,2023-01-02 08:48:00,276,Susan
71,Activity 39,2023-01-02 09:23:00,113,Laura
71,Activity 2,2023-01-02 10:58:00,142,John
71,Activity 25,2023-01-02 11:30:00,139,John
71,Activity 22,2023-01-02 12:21:00,138,Susan
72,Activity 7,2023-01-03 05:00:00,277,John
72,Activity 48,2023-01-03 06:33:00,233,Lisa
72,Activity 34,2023-01-03 07:33:00,282,Anna
72,Activity 29,2023-01-03 08:37:00,203,Mike
72,Activity 41,2023-01-03 10:20:00,97,Laura
72,Activity 39,2023-01-03 11:39:00,215,Lisa
72,Activity 46,2023-01-03 13:22:00,156,Susan
72,Activity 13,2023-01-03 14:06:00,176,Anna
73,Activity 39,2023-01-01 23:24:00,245,Anna
73,Activity 15,2023-01-02 00:20:00,289,Tom
73,Activity 14,2023-01-02 02:15:00,235,Tom
73,Activity 4,2023-01-02 02:27:00,113,Tom
73,Activity 12,2023-01-02 04:05:00,159,Mike
73,Activity 49,2023-01-02 06:04:00,91,Anna
73,Activity 38,2023-01-02 06:32:00,106,Tom
73,Activity 9,2023-01-02 08:22:00,145,Anna
73,Activity 33,2023-01-02 09:38:00,92,Lisa
73,Activity 12,2023-01-02 10:35:00,202,Tom
74,Activity 19,2023-01-01 15:16:00,62,Peter
74,Activity 43,2023-01-01 16:58:00,183,Mike
74,Activity 40,2023-01-01 17:03:00,206,Lisa
75,Activity 14,2023-01-01 21:42:00,90,Mike
75,Activity 25,2023-01-01 21:56:00,282,Tom
75,Activity 13,2023-01-01 23:42:00,111,Anna
75,Activity 16,2023-01-02 00:59:00,234,Anna
75,Activity 44,2023-01-02 02:58:00,79,Susan
75,Activity 24,2023-01-02 03:32:00,130,Tom
75,Activity 4,2023-01-02 05:17:00,256,Peter
75,Activity 10,2023-01-02 06:57:00,93,Lisa
75,Activity 38,2023-01-02 08:03:00,154,Mike
76,Activity 27,2023-01-02 09:36:00,127,Tom
76,Activity 37,2023-01-02 10:55:00,183,John
76,Activity 5,2023-01-02 12:52:00,72,Anna
76,Activity 7,2023-01-02 14:26:00,224,Tom
76,Activity 13,2023-01-02 15:29:00,223,Peter
77,Activity 40,2023-01-02 07:58:00,217,Anna
77,Activity 30,2023-01-02 09:10:00,188,Lisa
